State,Year,CO2_Balances,Energy_Consumption
Baden-Wuttemberg,1990,10593.0,242681.0
Baden-Wuttemberg,1991,11000.0,248249.0
Baden-Wuttemberg,1992,10706.0,241085.0
Baden-Wuttemberg,1993,10072.0,229403.0
Baden-Wuttemberg,1994,9557.0,223593.0
Baden-Wuttemberg,1995,9764.0,228462.0
Baden-Wuttemberg,1996,9058.0,219946.0
Baden-Wuttemberg,1997,8616.0,217294.0
Baden-Wuttemberg,1998,8400.0,218718.0
Baden-Wuttemberg,1999,7739.0,210117.0
Baden-Wuttemberg,2000,7843.0,217399.0
Baden-Wuttemberg,2001,7678.0,220744.0
Baden-Wuttemberg,2002,7285.0,216507.0
Baden-Wuttemberg,2003,7711.0,240883.0
Baden-Wuttemberg,2004,7248.0,238974.0
Baden-Wuttemberg,2005,7416.0,243390.0
Baden-Wuttemberg,2006,7540.0,246806.0
Baden-Wuttemberg,2007,7781.0,254297.0
Baden-Wuttemberg,2008,7283.0,246475.0
Baden-Wuttemberg,2009,6301.0,214258.064
Baden-Wuttemberg,2010,6622.0,231349.0
Baden-Wuttemberg,2011,6452.0,232042.2901
Baden-Wuttemberg,2012,5994.0,223040.0328
Baden-Wuttemberg,2013,6159.0,226164.8453
Baden-Wuttemberg,2014,6001.0,221068.1279
Baden-Wuttemberg,2015,6123.0,221861.966
Baden-Wuttemberg,2016,5923.0,220807.9833
Baden-Wuttemberg,2017,6086.0,223708.4014
Baden-Wuttemberg,2018,5969.0,223125.4081
Baden-Wuttemberg,2019,5813.0,216296.7651
Baden-Wuttemberg,2020,5604.0,205916.2493
Baden-Wuttemberg,2021,5817.0,217809.307
Baden-Wuttemberg,2022,5256.0,204380.8869
Bayern,1990,13319.0,294649.0
Bayern,1991,13663.0,304535.0
Bayern,1992,13619.0,305356.0
Bayern,1993,13391.0,300031.0
Bayern,1994,13174.0,298237.0
Bayern,1995,10867.0,270504.0
Bayern,1996,10832.0,265297.0
Bayern,1997,10590.0,262261.0
Bayern,1998,10621.0,264865.3131
Bayern,1999,10070.0,261061.1314
Bayern,2000,10416.0,271660.7067
Bayern,2001,9931.0,264135.7432
Bayern,2002,9262.0,254477.0991
Bayern,2003,9254.0,270856.0444
Bayern,2004,9743.0,288841.2556
Bayern,2005,8923.0,288608.5252
Bayern,2006,9615.0,295530.7978
Bayern,2007,10088.0,308838.4118
Bayern,2008,9413.0,291845.4263
Bayern,2009,8610.0,273461.7147
Bayern,2010,9826.0,312384.3244
Bayern,2011,9861.0,321876.0
Bayern,2012,10037.0,325027.0292
Bayern,2013,9863.0,319147.6721
Bayern,2014,9674.0,309304.8103
Bayern,2015,9477.0,302682.3036
Bayern,2016,9851.0,313115.5713
Bayern,2017,10081.0,316572.1971
Bayern,2018,10512.0,324900.4166
Bayern,2019,10408.0,319232.4795
Bayern,2020,9258.0,294558.6057
Bayern,2021,9975.0,320101.405
Bayern,2022,5760.0,177910.7025
Berlin,1990,1545.0,35720.0
Berlin,1991,1428.0,36758.0834
Berlin,1992,1311.0,35776.08252
Berlin,1993,987.0,33460.04001
Berlin,1994,832.0,26972.7785
Berlin,1995,809.0,26714.2
Berlin,1996,736.0,24190.7476
Berlin,1997,647.0,23829.82128
Berlin,1998,590.0,21910.58229
Berlin,1999,514.0,18831.51669
Berlin,2000,478.0,21866.7768
Berlin,2001,488.0,19304.16722
Berlin,2002,478.0,18785.11262
Berlin,2003,395.0,16781.26564
Berlin,2004,383.0,15127.13611
Berlin,2005,330.0,14139.14571
Berlin,2006,659.0,19323.09594
Berlin,2007,618.0,19039.92671
Berlin,2008,669.0,19612.7043
Berlin,2009,525.0,15554.2862
Berlin,2010,558.0,16973.7416
Berlin,2011,557.0,17240.88779
Berlin,2012,511.0,16373.6897
Berlin,2013,452.0,15397.89688
Berlin,2014,299.0,12499.05741
Berlin,2015,306.0,12624.34566
Berlin,2016,271.0,11986.38586
Berlin,2017,274.0,11860.0004
Berlin,2018,271.0,12019.62868
Berlin,2019,244.0,11164.62218
Berlin,2020,236.0,10425.85672
Berlin,2021,255.0,10909.07466
Berlin,2022,249.0,10352.80106
Brandenburg,1990,10236.0,142874.0
Brandenburg,1991,5772.0,82791.0
Brandenburg,1992,4725.0,73390.0
Brandenburg,1993,4715.0,75468.0
Brandenburg,1994,4099.0,68113.0
Brandenburg,1995,4470.0,78651.669
Brandenburg,1996,4144.0,75224.996
Brandenburg,1997,4383.0,74812.341
Brandenburg,1998,4792.0,84621.282
Brandenburg,1999,4974.0,89024.70968
Brandenburg,2000,5038.0,89737.01302
Brandenburg,2001,4936.0,85791.34068
Brandenburg,2002,4824.0,91463.08112
Brandenburg,2003,4741.0,93203.77529
Brandenburg,2004,4128.0,90660.98199
Brandenburg,2005,3181.0,88422.88276
Brandenburg,2006,4528.0,95054.85597
Brandenburg,2007,4700.0,101661.7945
Brandenburg,2008,3675.0,85533.89975
Brandenburg,2009,3542.0,76360.61595
Brandenburg,2010,4358.0,89060.89453
Brandenburg,2011,4049.0,95776.62315
Brandenburg,2012,3816.0,96120.68545
Brandenburg,2013,4358.0,100343.6193
Brandenburg,2014,4166.0,95356.76719
Brandenburg,2015,4494.0,88119.27631
Brandenburg,2016,3986.0,93975.06278
Brandenburg,2017,4503.0,103823.0545
Brandenburg,2018,4661.0,106692.1378
Brandenburg,2019,4471.0,105567.3179
Brandenburg,2020,4146.0,98729.33473
Brandenburg,2021,3707.0,99446.58231
Brandenburg,2022,3785.0,96502.84614
Bremen,1990,3890.0,56104.10819
Bremen,1991,3841.0,55923.57343
Bremen,1992,3600.0,53100.3783
Bremen,1993,3322.0,49029.43489
Bremen,1994,3995.0,58807.01651
Bremen,1995,4003.0,59491.62343
Bremen,1996,4194.0,60361.37506
Bremen,1997,4233.0,60369.15297
Bremen,1998,4396.0,62438.72395
Bremen,1999,3878.0,56411.13681
Bremen,2000,4929.0,67969.38587
Bremen,2001,4964.0,67305.2066
Bremen,2002,4698.0,64350.01561
Bremen,2003,5018.0,68845.93776
Bremen,2004,3876.0,56138.0391
Bremen,2005,3002.0,44305.02159
Bremen,2006,3362.0,50092.16819
Bremen,2007,4640.0,63407.09819
Bremen,2008,4204.0,59409.86382
Bremen,2009,3549.0,50041.93438
Bremen,2010,4328.0,61020.34168
Bremen,2011,4260.0,59796.2979
Bremen,2012,4305.0,59311.07195
Bremen,2013,4357.0,55953.94728
Bremen,2014,4399.0,64247.92111
Bremen,2015,4548.0,61247.07124
Bremen,2016,4665.0,63569.28618
Bremen,2017,4227.0,58762.07439
Bremen,2018,4518.0,62104.45034
Bremen,2019,4105.0,56822.44321
Bremen,2020,3672.0,50992.10089
Bremen,2021,2727.3333333333335,45082.92726
Bremen,2022,1782.6666666666667,39173.75363000001
Hamburg,1990,838.0,33264.58
Hamburg,1991,918.0,35931.608
Hamburg,1992,896.0,36019.532
Hamburg,1993,894.0,35872.992
Hamburg,1994,1133.0,39477.876
Hamburg,1995,1247.0,37562.0
Hamburg,1996,1207.0,37486.0
Hamburg,1997,1319.0,39465.0
Hamburg,1998,1283.5,39821.74606666667
Hamburg,1999,1248.0,40178.49213333333
Hamburg,2000,1212.5,40535.2382
Hamburg,2001,1177.0,40891.98426666667
Hamburg,2002,1141.5,41248.73033333333
Hamburg,2003,1106.0,41605.4764
Hamburg,2004,1344.0,41917.46932
Hamburg,2005,990.0,37334.28486
Hamburg,2006,1126.0,32789.18271
Hamburg,2007,1084.0,35293.22544
Hamburg,2008,868.0,33962.28291
Hamburg,2009,1028.0,33317.71678
Hamburg,2010,998.0,36029.44577
Hamburg,2011,872.0,32835.44896
Hamburg,2012,983.0,34628.89105
Hamburg,2013,660.0,29189.40166
Hamburg,2014,633.0,29356.9791
Hamburg,2015,637.0,29549.92099
Hamburg,2016,686.0,30309.94734
Hamburg,2017,655.0,29871.53601
Hamburg,2018,686.0,29675.13407
Hamburg,2019,671.0,28924.4776
Hamburg,2020,660.0,29469.69596
Hamburg,2021,685.0,29684.87669
Hamburg,2022,632.0,25576.71401
Hessen,1990,6065.0,136754.0
Hessen,1991,6400.0,141527.0
Hessen,1992,6437.0,143004.0
Hessen,1993,6030.0,133432.0
Hessen,1994,5992.0,134558.426
Hessen,1995,5789.0,132499.0
Hessen,1996,6028.0,140920.0
Hessen,1997,5601.0,127891.0
Hessen,1998,4583.0,112746.0
Hessen,1999,4149.0,106897.0
Hessen,2000,4278.0,117446.0
Hessen,2001,4293.0,121552.958
Hessen,2002,3842.0,116721.976
Hessen,2003,3849.0,117520.938
Hessen,2004,3765.0,116808.052
Hessen,2005,3801.0,118861.176
