State,Year,Forecasted_Energy_Consumption,CO2_Predicted_from_Historical,CO2_Predicted_from_BAU,t45_electricity,t45_hydrogen,t45_red_eff,Remaining_Energy_Consumption_t45_electricity,Remaining_Energy_Consumption_t45_hydrogen,Remaining_Energy_Consumption_t45_red_eff
Baden-Wuttemberg,2030.0,225666.84,6707.0933,6544.1187,5902.944087404026,10231.769751500313,5902.944087404026,219763.89591259597,215435.0702484997,219763.89591259597
Bayern,2030.0,239470.48,7628.4585,7720.4106,5138.430238450403,8906.612413314031,5138.430238450403,234332.0497615496,230563.86758668598,234332.0497615496
Berlin,2030.0,19222.102,596.42804,488.75446,299.01037583371567,518.2846514451071,299.01037583371567,18923.09162416628,18703.81734855489,18923.09162416628
Brandenburg,2030.0,96883.375,5061.248,4906.3765,2787.202432086977,4831.150882284093,2787.202432086977,94096.17256791302,92052.2241177159,94096.17256791302
Bremen,2030.0,50831.83,2686.8567,2513.2346,1131.4192871898656,1961.1267644624336,1131.4192871898656,49700.41071281014,48870.70323553757,49700.41071281014
Hamburg,2030.0,32297.66,831.11053,806.15906,738.7085702119693,1280.4281883674134,738.7085702119693,31558.95142978803,31017.231811632588,31558.95142978803
Hessen,2030.0,115800.86,3704.482,3645.2246,3006.490116182395,5211.249534716151,3006.490116182395,112794.3698838176,110589.61046528385,112794.3698838176
Niedersachsen,2030.0,269451.0,11339.188,11264.642,7514.884153,13025.79919810215,7514.884153,261936.115847,256425.20080189785,261936.115847
Nordrhein-Westfalen,2030.0,677173.25,31826.725,30150.81,13637.83928274872,23638.92142343112,13637.83928274872,663535.4107172512,653534.3285765689,663535.4107172512
Rheinland-Pfalz,2030.0,143860.14,4778.159,4651.3228,4158.764438305576,7208.525026396332,4158.764438305576,139701.37556169444,136651.6149736037,139701.37556169444
Sachsen,2030.0,103833.234,4377.6523,4367.0786,2772.618220405821,4805.871582036756,2772.618220405821,101060.61577959417,99027.36241796325,101060.61577959417
Sachsen-Anhalt,2030.0,138326.17,6344.1846,5643.347,4030.2157353431103,6985.707274594725,4030.2157353431103,134295.9542646569,131340.4627254053,134295.9542646569
Schleswig-Holstein,2030.0,52329.0,2160.7615,2112.3137,1224.8689449206847,2123.1061711958537,1224.8689449206847,51104.13105507931,50205.893828804146,51104.13105507931
Thuringen,2030.0,65873.32,2767.101,2739.4822,1656.6041181654978,2871.4471381535295,1656.6041181654978,64216.71588183451,63001.87286184648,64216.71588183451
