State,Year,Forecasted_Energy_Consumption,CO2_Predicted_from_Historical,CO2_Predicted_from_BAU
Baden-Wuttemberg,2030.0,222449.52,6384.9243,6481.7607
Bayern,2030.0,237021.98,7181.042,7494.6787
Berlin,2030.0,19413.564,487.20612,510.44586
Brandenburg,2030.0,95015.2,4483.3965,4620.2104
Bremen,2030.0,50660.89,2423.826,2453.368
Hamburg,2030.0,31338.326,770.94604,772.20795
Hessen,2030.0,114279.67,3467.4436,3545.149
Niedersachsen,2030.0,269101.5,11079.237,11274.83
Nordrhein-Westfalen,2030.0,649363.2,28125.625,29460.834
Rheinland-Pfalz,2030.0,144409.05,4552.0303,4581.504
Sachsen,2030.0,98057.664,3834.0862,3990.4756
Sachsen-Anhalt,2030.0,139166.1,5788.0884,5768.9673
Schleswig-Holstein,2030.0,50358.47,2041.2698,2081.883
Thuringen,2030.0,63962.137,2313.5706,2613.6458
Baden-Wuttemberg,2037.0,223796.58,6432.6953,6549.9307
Bayern,2037.0,241165.1,7260.903,7594.8286
Berlin,2037.0,20073.277,499.068,525.30066
Brandenburg,2037.0,96987.39,4550.931,4703.8887
Bremen,2037.0,51494.953,2455.3318,2490.8008
Hamburg,2037.0,31765.344,777.44763,780.1531
Hessen,2037.0,115383.24,3502.601,3587.481
Niedersachsen,2037.0,270140.28,11129.543,11336.175
Nordrhein-Westfalen,2037.0,663159.56,28418.637,29838.256
Rheinland-Pfalz,2037.0,145640.27,4581.484,4623.839
Sachsen,2037.0,101512.13,3921.7139,4094.1074
Sachsen-Anhalt,2037.0,144393.39,5935.6675,5954.8735
Schleswig-Holstein,2037.0,51015.89,2065.8413,2110.8599
Thuringen,2037.0,66045.4,2373.7908,2684.919
Baden-Wuttemberg,2045.0,225422.7,6491.078,6631.5
Bayern,2045.0,246127.44,7354.3774,7713.4487
Berlin,2045.0,20866.66,513.2369,543.0266
Brandenburg,2045.0,99349.31,4631.174,4804.009
Bremen,2045.0,52494.96,2492.3452,2535.784
Hamburg,2045.0,32278.863,785.0552,789.6653
Hessen,2045.0,116713.164,3543.6519,3638.49
Niedersachsen,2045.0,271396.75,11189.939,11409.628
Nordrhein-Westfalen,2045.0,680000.4,28774.574,30290.703
Rheinland-Pfalz,2045.0,147110.06,4615.9873,4674.589
Sachsen,2045.0,105786.66,4027.0815,4218.7417
Sachsen-Anhalt,2045.0,150638.69,6114.1445,6171.964
Schleswig-Holstein,2045.0,51819.668,2094.634,2145.6301
Thuringen,2045.0,68613.22,2444.6309,2770.2097
