State,Year,Forecasted_Energy_Consumption,CO2_Predicted_from_Historical,CO2_Predicted_from_BAU
Baden-Wuttemberg,2030.0,220419.0,6374.1104,7088.735
Bayern,2030.0,239242.11,7253.8716,8786.081
Berlin,2030.0,20016.236,499.4672,625.1696
Brandenburg,2030.0,93403.875,4490.2334,4215.146
Bremen,2030.0,50873.938,2428.1582,2968.1116
Hamburg,2030.0,31581.29,774.04755,844.7844
Hessen,2030.0,117298.02,3455.1743,3586.8801
Niedersachsen,2030.0,269944.8,11147.671,12155.908
Nordrhein-Westfalen,2030.0,695031.56,29411.58,37006.652
Rheinland-Pfalz,2030.0,142177.31,4567.2495,5296.6167
Sachsen,2030.0,97510.84,4066.1475,2806.9553
Sachsen-Anhalt,2030.0,139570.64,5684.884,4802.4556
Schleswig-Holstein,2030.0,51966.887,2033.1339,2221.3584
Thuringen,2030.0,62253.95,2447.26,3099.4148
Baden-Wuttemberg,2037.0,220445.23,6390.998,6895.7134
Bayern,2037.0,239200.02,7284.1885,8643.945
Berlin,2037.0,20044.621,505.14984,594.51263
Brandenburg,2037.0,93577.37,4510.436,3983.827
Bremen,2037.0,50868.51,2438.9607,2847.5105
Hamburg,2037.0,31583.578,776.9944,818.88586
Hessen,2037.0,117356.29,3468.5369,3468.2349
Niedersachsen,2037.0,269943.75,11163.426,12027.38
Nordrhein-Westfalen,2037.0,696509.1,29531.145,36237.066
Rheinland-Pfalz,2037.0,142246.05,4582.231,5209.056
Sachsen,2037.0,97998.65,4090.347,2484.6301
Sachsen-Anhalt,2037.0,140166.25,5748.2734,4243.4336
Schleswig-Holstein,2037.0,51941.69,2038.8081,2141.6975
Thuringen,2037.0,62627.113,2461.8794,2919.5603
Baden-Wuttemberg,2045.0,220461.23,6411.721,6664.2476
Bayern,2045.0,239071.8,7318.096,8411.266
Berlin,2045.0,20137.318,512.1012,557.7943
Brandenburg,2045.0,93758.914,4535.539,3705.2554
Bremen,2045.0,50923.004,2452.1716,2704.5688
Hamburg,2045.0,31576.611,780.60077,788.2277
Hessen,2045.0,117480.3,3485.0715,3327.7056
Niedersachsen,2045.0,269921.25,11183.08,11849.2
Nordrhein-Westfalen,2045.0,697907.06,29676.498,35011.945
Rheinland-Pfalz,2045.0,142300.39,4600.734,5085.425
Sachsen,2045.0,98553.62,4120.4424,2070.0664
Sachsen-Anhalt,2045.0,140957.67,5825.51,3548.5627
Schleswig-Holstein,2045.0,51897.188,2045.8296,2044.8356
Thuringen,2045.0,63044.156,2480.139,2701.768
