State,Year,Forecasted_Energy_Consumption,CO2_Predicted_from_Historical,CO2_Predicted_from_BAU,t45_electricity,t45_hydrogen,t45_red_eff,Remaining_Energy_Consumption_t45_electricity,Remaining_Energy_Consumption_t45_hydrogen,Remaining_Energy_Consumption_t45_red_eff,Remaining_CO2_Balance_t45_electricity,Remaining_CO2_Balance_t45_hydrogen,Remaining_CO2_Balance_t45_red_eff
Baden-Wuttemberg,2030.0,220419.0,6374.1104,7088.735,5902.944087404026,10231.769751500313,5902.944087404026,214516.05591259597,210187.2302484997,214516.05591259597,7579.82,7584.2915,7579.82
Bayern,2030.0,239242.11,7253.8716,8786.081,5138.430238450403,8906.612413314031,5138.430238450403,234103.67976154957,230335.49758668596,234103.67976154957,7932.9526,7921.212,7932.9526
Berlin,2030.0,20016.236,499.4672,625.1696,299.01037583371567,518.2846514451071,299.01037583371567,19717.225624166284,19497.951348554892,19717.225624166284,628.4772,628.297,628.4772
Brandenburg,2030.0,93403.875,4490.2334,4215.146,2787.202432086977,4831.150882284093,2787.202432086977,90616.67256791302,88572.7241177159,90616.67256791302,4995.5967,4988.4785,4995.5967
Bremen,2030.0,50873.938,2428.1582,2968.1116,1131.4192871898656,1961.1267644624336,1131.4192871898656,49742.51871281014,48912.81123553757,49742.51871281014,2165.4062,2160.928,2165.4062
Hamburg,2030.0,31581.29,774.04755,844.7844,738.7085702119693,1280.4281883674134,738.7085702119693,30842.58142978803,30300.86181163259,30842.58142978803,834.23224,833.1404,834.23224
Hessen,2030.0,117298.02,3455.1743,3586.8801,3006.490116182395,5211.249534716151,3006.490116182395,114291.52988381761,112086.77046528386,114291.52988381761,3591.3032,3582.2122,3591.3032
Niedersachsen,2030.0,269944.8,11147.671,12155.908,7514.884153,13025.79919810215,7514.884153,262429.91584699997,256919.00080189784,262429.91584699997,10894.389,10885.825,10894.389
Nordrhein-Westfalen,2030.0,695031.56,29411.58,37006.652,13637.83928274872,23638.92142343112,13637.83928274872,681393.7207172513,671392.6385765689,681393.7207172513,33810.67,33774.46,33810.67
Rheinland-Pfalz,2030.0,142177.31,4567.2495,5296.6167,4158.764438305576,7208.525026396332,4158.764438305576,138018.54556169442,134968.78497360367,138018.54556169442,5059.9136,5053.005,5059.9136
Sachsen,2030.0,97510.84,4066.1475,2806.9553,2772.618220405821,4805.871582036756,2772.618220405821,94738.22177959417,92704.96841796325,94738.22177959417,5453.5723,5449.0356,5453.5723
Sachsen-Anhalt,2030.0,139570.64,5684.884,4802.4556,4030.2157353431103,6985.707274594725,4030.2157353431103,135540.4242646569,132584.9327254053,135540.4242646569,3104.4158,3093.0364,3104.4158
Schleswig-Holstein,2030.0,51966.887,2033.1339,2221.3584,1224.8689449206847,2123.1061711958537,1224.8689449206847,50742.018055079316,49843.78082880415,50742.018055079316,1808.9258,1804.883,1808.9258
Thuringen,2030.0,62253.95,2447.26,3099.4148,1656.6041181654978,2871.4471381535295,1656.6041181654978,60597.3458818345,59382.50286184647,60597.3458818345,2483.3591,2480.161,2483.3591
Baden-Wuttemberg,2037.0,220445.23,6390.998,6895.7134,29514.72043702013,75164.15471,31875.89807198174,190930.5095629799,145281.07529,188569.33192801828,7392.6797,7398.7163,7390.8657
Bayern,2037.0,239200.02,7284.1885,8643.945,25692.15119225201,65429.34503626846,27747.523287632175,213507.868807748,173770.67496373152,211452.4967123678,7616.779,7489.1577,7610.087
Berlin,2037.0,20044.621,505.14984,594.51263,1495.0518791685784,3807.3987856159792,1614.6560295020645,18549.56912083142,16237.222214384019,18429.964970497935,598.06226,595.8473,597.94403
Brandenburg,2037.0,93577.37,4510.436,3983.827,13936.012160434884,35490.37763524084,15050.893133269676,79641.35783956511,58086.992364759164,78526.47686673031,4795.851,4725.4624,4791.953
Bremen,2037.0,50868.51,2438.9607,2847.5105,5657.096435949327,14406.738923550954,6109.664150825274,45211.41356405067,36461.77107644905,44758.84584917473,2032.2428,1986.9402,2029.7704
Hamburg,2037.0,31583.578,776.9944,818.88586,3693.5428510598463,9406.222460699077,3989.0262791446344,27890.035148940155,22177.355539300923,27594.55172085537,802.70746,790.8317,802.08185
Hessen,2037.0,117356.29,3468.5369,3468.2349,15032.450580911976,38282.64081272249,16235.046627384932,102323.83941908804,79073.64918727751,101121.24337261505,3422.968,3389.5854,3418.1045
Niedersachsen,2037.0,269943.75,11163.426,12027.38,37574.42076,95689.52488,40580.374424856695,232369.32924,174254.22512000002,229363.37557514332,10702.987,10886.292,10704.838
Nordrhein-Westfalen,2037.0,696509.1,29531.145,36237.066,68189.19641,173655.15353366706,73644.33212684309,628319.90359,522853.9464663329,622864.7678731569,32820.445,32220.48,32789.242
